citation_key,entry_type,author,year,title,journal_or_booktitle,doi
0019180,article,Sarah Alzahrani and Joud Alderaan and Dalya Alatawi and Bandar Alotaibi,2023,Continuous Mobile User Authentication Using a Hybrid CNN-Bi-LSTM Approach,"Computers, Materials \& Continua",10.32604/cmc.2023.035173
0080102,article,Emmanouel T. Michailidis and Demosthenes Vouyioukas,2022,A Review on Software-Based and Hardware-Based Authentication Mechanisms for the Internet of Drones,Drones,10.3390/drones6020041
0144944,article,"Estrela, Priscila Morais Argôlo Bonfim and Albuquerque, Robson de Oliveira and Amaral, Dino Macedo and Giozza, William Ferreira and Júnior, Rafael Timóteo de Sousa",2021,A Framework for Continuous Authentication Based on Touch Dynamics Biometrics for Mobile Banking Applications,Sensors,10.3390/s21124212
0148014,article,Fahim Sufi,2023,Multi-Agent Intelligence for Cybersecurity Threat Analysis,Future Internet,10.3390/fi15070231
0252597,article,Fayez Alqahtani and Zafer Al-Makhadmeh and Amr Tolba and Omar Said,2019,TBM: A trust-based monitoring security scheme to improve the service authentication in the Internet of Things communications,Computer Communications,10.1016/j.comcom.2019.11.030
0542919,article,Hamada Rizk and Ahmed Elmogy,2025,IdentiFi: Self-Supervised WiFi-Based Human Identification in Multi-Occupant Environments,Sensors,10.3390/s25103108
0890626,article,Shimaa A. Abdel Hakeem and Hanan H. Hussein and HyungWon Kim,2022,Security and Privacy in 5G and Beyond Networks: A Survey,Sensors,10.3390/s22051969
1049970,inproceedings,"Mkpa, Akpanakak and Chin, Jeannette and Winckles, Adrian",2019,"Holistic Blockchain Approach to Foster Trust, Privacy and Security in IoT Based Ambient Assisted Living Environment",2019 15th International Conference on Intelligent Environments (IE),10.1109/IE.2019.00008
1229348,article,Sakorn Mekruksavanich and Anuchit Jitpattanakul,2021,Deep Learning Approaches for Continuous Authentication Based on Activity Patterns Using Mobile Sensing,Sensors,10.3390/s21227519
1249900,article,Sara Kokal and Mounika Vanamala and Rushit Dave,2023,"Deep Learning and Machine Learning, Better Together Than Apart: A Review on Biometrics Mobile Authentication",J. Cybersecur. Priv.,10.3390/jcp3020013
1344224,article,Z. Faizal Khan and Sultan Refa Alotaibi,2023,Agent-Driven Facial Continuous Authentication for Online Examination,International Journal of Emerging Technologies,10.3991/ijet.v15i09.12387
1713619,article,El-Sayed M. El-Kenawy and Seyedali Mirjalili and Abdelaziz A. Abdelhamid and Abdelhameed Ibrahim and Nima Khodadadi and Marwa M. Eid,2022,Meta-Heuristic Optimization and Keystroke Dynamics for Authentication of Smartphone Users,Mathematics,10.3390/math10162912
2082372,article,Ron S. Hirschprung and Shani Alkoby,2022,A Game Theory Approach for Assisting Humans in Online Information-Sharing,Information,10.3390/info13040183
2222641,article,{Özlem Durmaz Incel} and {Seçil Günay} and {Yasemin Akan} and {Yunus Barlas} and {Okan Engin Basar} and {Gülfem Isiklar Alptekin} and {Mustafa Isbilen},2021,DAKOTA: Sensor and Touch Screen-Based Continuous Authentication on a Mobile Banking Application,,10.1109/ACCESS.2021.3063424
2515972,article,"Skalkos, Andreas and Stylios, Ioannis and Karyda, Maria and Kokolakis, Spyros",2021,Users' Privacy Attitudes towards the Use of Behavioral Biometrics Continuous Authentication (BBCA) Technologies: A Protection Motivation Theory Approach,J. Cybersecur. Priv.,10.3390/jcp1040036
2540673,article,S. AYESWARYA and K. JOHN SINGH,2024,A Comprehensive Review on Secure Biometric-Based Continuous Authentication and User Profiling,,10.1109/ACCESS.2024.3411783
3136900,article,Attaullah Buriro and Sandeep Gupta and Artsiom Yautsiukhin and Bruno Crispo,2021,Touch-Based Biometric Authentication: A Review from a Usability and Performance Perspective,JournalofSignalProcessingSystems,10.1007/s11265-021-01654-2
3399875,article,Muhammed Akif A{\u{g}}ca and Sébastien Faye and Djamel Khadraoui,2023,Trusted Distributed AI for Mobile Security and Privacy,,10.1109/ACCESS.2023.3322568
3573368,article,"Abuhamad, Mohammed and Abusnaina, Ahmed and Nyang, DaeHun and Mohaisen, David",2021,Sensor-Based Continuous Authentication of Smartphones' Users Using Behavioral Biometrics: A Contemporary Survey,IEEE Internet of Things Journal,10.1109/JIOT.2020.3020076
3685603,article,Soumen Roy and Jitesh Pradhan and Abhinav Kumar and Dibya Ranjan Das Adhikary and Utpal Roy and Devadatta Sinha and Rajat Kumar Pal,2022,A Systematic Literature Review on Latest Keystroke Dynamics Based Models,,10.1109/ACCESS.2022.3197756
3699401,article,"Verma, Akriti and Moghaddam, Valeh and Anwar, Adnan",2022,Motion-Based Continuous Authentication and Adversarial Robustness on Mobile Devices,Sustainability,10.3390/su14127362
3700929,article,"Durmu{\c{s}} {\""O}zkan {\c{S}}ahin and Sedat Akleylek and Erdal Kili{\c{c}}",2022,Permission-Based Mobile Malware Detection and Analysis,,10.1109/ACCESS.2022.3146363
4020615,article,Changjie Wang and Zhihua Li and BENJAMIN SARPONG,2021,Gait Pattern Classification Using K-Nearest Neighbor and Convolutional Neural Network,BIG DATA MINING AND ANALYTICS,10.26599/BDMA.2021.9020006
4164671,article,Diaa M. Uliyan and Somayeh Sadeghi and Hamid A. Jalab,2019,Fingerprint Presentation Attack Detection Using Deep Boltzmann Machines,"Engineering Science and Technology, an International Journal",10.1016/j.jestch.2019.06.005
4176733,article,VenkataGurunatham Naidu Kollu and Vijayaraj Janarthanan andMuthulakshmi Karupusamy andManikandan Ramachandran,2023,Federated Learning for Intrusion Detection in Distributed IoT Environments,Data,10.3390/data8050083
4221264,article,Sakorn Mekruksavanich and Anuchit Jitpattanakul,2021,Biometric User Identification Based on Human Activity Recognition Using Wearable Sensors: An Experiment Using Deep Learning Models,Electronics,10.3390/electronics10030308
4567048,article,GEN LI and HIROYUKI SATO,2022,Sensing In-Air Signature Motions Using Smartwatch: A High-Precision Approach of Behavioral Authentication,,10.1109/ACCESS.2022.3177905
4618184,article,Rodrigo Rocha and Davide Carneiro and Paulo Novais,2020,Continuous authentication with a focus on explainability,,
4682458,article,Amir Jalaly Bidgoly and Hamed Jalaly Bidgoly and Zeynab Arezoumand,2020,A Survey on Methods and Challenges in EEG Based Authentication,Computers \& Security,https://doi.org/10.1016/j.cose.2020.101788
4819981,article,Alejandro Gomez-Alanis and Jose A. Gonzalez-Lopez and Antonio M. Peinado,2020,Kernel Density Estimation-Based Loss for Anti-Spoofing in Speaker Verification,IEEE Access,10.1109/ACCESS.2020.3000641
4841470,article,Allan de Barcelos Silva and Marcio Miguel Gomes and Cristiano André da Costa and Rodrigo da Rosa Righi and Jorge Luis Victoria Barbosa and Gustavo Pessin and Geert De Doncker and Gustavo Federizzi,2020,Intelligent Personal Assistants: A Systematic Literature Review,Expert Systems With Applications,https://doi.org/10.1016/j.eswa.2020.113193
4868361,article,"Khairnar, Smita and Gite, Shilpa and Kotecha, Ketan and Thepade, Sudeep D.",2023,AI-Driven Face Liveness Detection: A Systematic Review,Big Data Cogn. Comput.,10.3390/bdcc7010037
5062213,article,Javier Lopez and Juan E. Rubio and Cristina Alcaraz,2022,Digital Twins for Intelligent Authorization in the B5G-enabled Smart Grid,IEEE Wireless Communications,10.1109/MWC.001.2000336
